id,name,rating,rating_count,address,district
72,Quán lẩu dê Lam Sơn,3.8,705,"31a Hồng Hà, Phường 2, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
73,Din Ky Restaurant,4.1,161,"18 Đ. Cộng Hòa, Phường 4, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
74,Nhà Hàng Thiên Hương Sushi,4.3,108,"27 Hậu Giang, P.4, Tân Bình, Thành phố Hồ Chí Minh 700000",Tân Bình
75,NHÀ HÀNG CHAY TÂM | NHÀ HÀNG CHAY PHẠM VĂN HAI | NHÀ HÀNG CHAY TÂN BÌNH,4.1,34,"63 Phạm Văn Hai, Phường 3, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
78,Nhà Hàng Dìn Ký Hồng Hà,3.7,1,"127 Đ. Hồng Hà, Phường 9, Phú Nhuận, Thành phố Hồ Chí Minh 70000",Phú Nhuận
79,Xiên Khè Felix,4.6,194,"1a Đ. Phổ Quang, Phường 2, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
80,Công Ty Tnhh Đầu Tư Nhà Hàng Khách Sạn Minh Long,4.5,2,"19 Hoàng Việt, Phường 4, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
82,T-Sum Restaurant,3.0,1,"15 Nguyễn Thái Bình, Phường 4, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
83,Next Noodles,2.6,18,"Level 3, Tan Son Nhat Airport 70000, Thành phố Hồ Chí Minh",Tân Bình
84,NHÀ HÀNG CHAY & TRÀ MUNI,4.5,72,"15B Sông Đà, Phường 2, Tân Bình, Thành phố Hồ Chí Minh 70000",Tân Bình
86,Quán KIM,4.0,1,"11 Đặng Văn Sâm, Phường 2, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
87,Nonee - Buffet nướng & lẩu,4.4,44,"185 Trần Huy Liệu, Phường 8, Phú Nhuận, Thành phố Hồ Chí Minh 726500",Phú Nhuận
88,ẩm thực 239,3.9,16,"239 Nguyễn Trọng Tuyển, Phường 8, Phú Nhuận, Thành phố Hồ Chí Minh 70000",Phú Nhuận
89,Nhà Hàng Hàn Quốc Hodori,4.2,79,"27A Hậu Giang, Phường 4, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
90,Nhà Hàng CHAY XANH 2 - Vegetarian Restaurant,4.6,118,"343/8 Nguyễn Trọng Tuyển, Phường 1, Tân Bình, Thành phố Hồ Chí Minh 72200",Tân Bình
91,Nhà Hàng,5.0,1,"91 Bành Văn Trân, Phường 7, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
92,Grand Palace Wedding And Convention,4.2,4,"18 Đ. Cộng Hòa, Phường 4, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
93,Nhậu Ngon Mồi Xịn,4.0,1,"1 Đ. Phổ Quang, P. 2 Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
94,The Noodle House,5.0,3,"76 Đ. Bạch Đằng, Phường 2, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
96,INDIA SPECIAL RESTAURANT,4.2,354,"5A Sông Đáy, Phường 2, Tân Bình, Thành phố Hồ Chí Minh 70000",Tân Bình
97,Dim Tu Tac,4.3,786,"202A Hoàng Văn Thụ, Phường 9, Phú Nhuận, Thành phố Hồ Chí Minh",Phú Nhuận
98,Cơm Tấm Cali - Nguyễn Văn Trỗi,3.6,433,"82 Đ. Nguyễn Văn Trỗi, Phường 8, Phú Nhuận, Thành phố Hồ Chí Minh 70000",Phú Nhuận
100,Nari Hotpot & Rice (cơm văn phòng),1.0,1,"16 Hoàng Việt, Phường 4, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
101,An La Nho Restaurant,5.0,2,"99, Cuu Long Street, Ward 15, District 10, Phường 15, Quận 10, Thành phố Hồ Chí Minh",Quận 10
102,Popeyes sân bay,2.4,13,"Tan Son Nhat Air Cargo Terminal, Nguyễn Văn Vĩnh, Phường 4, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
103,McDonald's Tân Sơn Nhất,3.9,908,"Phòng A1, Tầng trệt, Khu vực thương mại Nhà giữ xe Ga Quốc Nội, Tân Bình, 700000",Tân Bình
104,Quán ăn Quê Ta,1.0,1,"63 Hoa Hồng, phường 2, Phú Nhuận, Thành phố Hồ Chí Minh",Phú Nhuận
106,Isushi Trường Sơn Tân Bình,4.3,233,"18 Trường Sơn, Phường 2, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
107,Nhà hàng Buffet chay D'Gemma,5.0,3,"5B Đ. Phổ Quang, Phường 2, Tân Bình, Thành phố Hồ Chí Minh 70000",Tân Bình
140,Nhà hàng Khoái,4.2,829,"16 Lê Quý Đôn, Phường 6, Quận 3, Thành phố Hồ Chí Minh",Quận 3
141,241 Restaurant,3.9,1,"45 Đ. Phạm Viết Chánh, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh",Quận 1
142,Nhà Hàng 939 Hòn Chồng,3.9,1,"927 Đ. Hoàng Sa, Phường 11, Quận 3, Thành phố Hồ Chí Minh",Quận 3
143,Nhà hàng Chay Bếp xanh An Duyên,4.5,787,"10 Đ. Nguyễn Tri Phương, Phường 6, Quận 5, Thành phố Hồ Chí Minh 700000",Quận 5
144,HOME Saigon - HOME Vietnamese Restaurant,4.5,657,"216/4 Điện Biên Phủ, Phường 4, Quận 3, Thành phố Hồ Chí Minh 700000",Quận 3
145,Nhà Hàng Hương Huyền Xả Gió,4.2,330,"8H Đ. Bùi Minh Trực, Phường 5, Quận 8, Thành phố Hồ Chí Minh",Quận 8
146,Nhà hàng All-in,4.6,118,"Hẻm 91 Hoà Hưng, Phường 12, Quận 10, Thành phố Hồ Chí Minh",Quận 10
147,Nhà hàng Đất Sét,4.0,970,"16 Đ. Lê Hồng Phong, Phường 12, Quận 10, Thành phố Hồ Chí Minh",Quận 10
148,Nhà Hàng Bê Vàng - Hải Sản Tươi Sống,4.3,973,"263 Đ. An D. Vương, Phường 3, Quận 5, Thành phố Hồ Chí Minh",Quận 5
149,Nhà Hàng Bê Vàng,3.9,798,"110 Đ. Vành Đai Trong, An Lạc A, Bình Tân, Thành phố Hồ Chí Minh",Bình Tân
150,Nhà Hàng Hải Sản Rạn Biển 9,4.1,684,"42 Trần Đình Xu, Phường Cô Giang, Quận 1, Thành phố Hồ Chí Minh 700000",Quận 1
151,Hoang Tam,4.4,1,"TK, 22/1 Đ. Nguyễn Cảnh Chân, Cầu Kho, Quận 1, Thành phố Hồ Chí Minh 70000",Quận 1
152,Nhà hàng Chim Rừng,4.1,308,"PJX7+8W9, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh",Bình Tân
153,Nhà Hàng Vườn Ngọc Lan,4.2,216,"189/1 Đ. Cống Quỳnh, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh 700000",Quận 1
154,Nhà Hàng Chay (Vegetarian Restaurant) Hoa Khai,4.3,703,"khuôn viên Nam Thành Thánh Thất, 124 Đ. Nguyễn Cư Trinh, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh 733500",Quận 1
155,Nhà Hàng Tân Nhã,4.8,399,"100 Trần Tuấn Khải, Phường 5, Quận 5, Thành phố Hồ Chí Minh",Quận 5
156,Nhà hàng Hoa Hồng,4.1,141,"181 Đ. 3 Tháng 2, Phường 12, Quận 10, Thành phố Hồ Chí Minh",Quận 10
157,Hoa Vien Nam Bo Wedding Restaurant,4.0,1,"65 Hòa Bình, Tân Thới Hoà, Tân Phú, Thành phố Hồ Chí Minh",Tân Phú
158,Nhà hàng Hải Đăng 1,3.9,244,"31A Đ. Nguyễn Thông, Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh 70000",Quận 3
159,Nàng Gánh restaurant,4.2,414,"115/2 Trần Quốc Thảo, Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh",Quận 3
160,Nhà Hàng Sân Vườn 360,4.0,184,"336/27 Nguyễn Văn Luông, Phường 12, Quận 6, Thành phố Hồ Chí Minh",Quận 6
161,Thuy ta Dam Sen Restaurant,4.1,503,"3 Hòa Bình, Phường 3, Quận 11, Thành phố Hồ Chí Minh 700000",Quận 11
162,Den Long - Home Cooked Vietnamese Restaurant,4.5,2,"1st Floor, 130 Đ. Nguyễn Trãi, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh 700000",Quận 1
163,Nhà hàng Việt Phố,4.1,3,"45-47-49, Lê Quý Đôn, Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh 700000",Quận 3
164,Nhà hàng chay - thực dưỡng Quỳnh House,4.9,171,"449/23 Đ. Sư Vạn Hạnh, Phường 12, Quận 10, Thành phố Hồ Chí Minh",Quận 10
165,Nhà hàng Tân Hải Vân,4.0,1,"164 Đ. Nguyễn Trãi, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh 700000",Quận 1
166,Nhon Hoa 1 Restaurant,4.0,422,"1097 Phạm Thế Hiển, Phường 5, Quận 8, Thành phố Hồ Chí Minh",Quận 8
167,Lobster Bay - Kỳ Đồng,4.4,364,"10B Đ. Kỳ Đồng, Phường 9, Quận 3, Thành phố Hồ Chí Minh",Quận 3
168,Ngoc Suong 3 Restaurant,4.4,659,"106 Đ. Sương Nguyệt Anh, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh",Quận 1
169,Nhà Hàng Còng Gió - Ẩm thực miền biển,4.1,184,"Hẻm 796 Sư Vạn Hạnh, Phường 12, Quận 10, Thành phố Hồ Chí Minh 72510",Quận 10
